"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/26/2021","Gold's Gym","ABC*GOLDS GYM","14.99","debit","Gym","Discover","",""
"3/25/2021","Smoothie King","LEVELUP*SMOOTHIEKING66","13.97","debit","Food & Dining","Discover","",""
"3/24/2021","Gold's Gym","4826 Golds Gym Bowie","29.99","debit","Gym","Discover","",""
"3/25/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Choice Checking","",""
"3/25/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","75.48","debit","Transfer","Choice Checking","",""
"3/24/2021","BANK OF AMERICA FNDTRNSFR 210323","BANK OF AMERICA FNDTRNSFR 210323","445.00","credit","Transfer","Investor Checking","",""
"3/23/2021","Giant","GIANT 0326 LANHAM MD02343R","185.01","debit","Groceries","Discover","",""
"3/23/2021","Interest Paid","Interest Paid","3.85","credit","Interest Income","Online Savings Account","",""
"3/23/2021","Venmo","VENMO PAYMENT","30.06","debit","Transfer","Investor Checking","",""
"3/22/2021","Venmo Cashout","VENMO CASHOUT","69.00","credit","Income","Investor Checking","",""
"3/20/2021","Amazon","AMAZON.COM*SK3LU1OH3 AMZN.COM/BILLWAVEW2VGDEQL5","31.55","debit","Shopping","Discover","",""
"3/20/2021","Burial Beer Co., LLC","SQ *BURIAL BEER COAsheville, NC #0000001","26.45","debit","Alcohol & Bars","Investor Checking","",""
"3/20/2021","BUCHANAN QUICK S BUCHANAN","BUCHANAN QUICK S BUCHANAN","12.78","debit","Gas & Fuel","Investor Checking","",""
"3/20/2021","COA PARKING PASSPOXXX-, NC #X0000","COA PARKING PASSPO828-2324557, NC #00000","3.00","debit","Parking","Investor Checking","",""
"3/20/2021","THE BLACKBIRD ASHEVILLE, NC #XXX0001","THE BLACKBIRD ASHEVILLE, NC #0000001","131.98","debit","Alcohol & Bars","Investor Checking","",""
"3/20/2021","Curate","CURATE ASHEVILLE, NC #0000001","88.00","debit","Restaurants","Investor Checking","",""
"3/19/2021","BANFIELD-PET*WPPAYMENT XXX-XXX-7927 WA","BANFIELD-PET*WPPAYMENT 866-894-7927 WA","45.95","debit","Veterinary","Discover","",""
"3/19/2021","Shell","SHELL SERVICE STATION ASHEVILLE","28.99","debit","Gas & Fuel","Investor Checking","",""
"3/19/2021","Navitat Canopy","IN *NAVITAT CANOPY ADVE BARNARDSVILLE","26.75","debit","Kids Activities","Investor Checking","",""
"3/19/2021","Old Europe","OLD EUROPE ASHEVILLE, NC #0000001","12.26","debit","Restaurants","Investor Checking","",""
"3/19/2021","TST* WHITE LABS ASHVILLE, NC #XXXX0019","TST* WHITE LABS ASHVILLE, NC #00000019","55.55","debit","Alcohol & Bars","Investor Checking","",""
"3/19/2021","Another Broken Egg","ANOTHER BROKEN EGGASHEVILLE, NC #0000001","57.30","debit","Restaurants","Investor Checking","",""
"3/19/2021","Venmo Cashout Tran","VENMO CASHOUT ~ Tran: ACHDD","534.26","credit","Income","Investor Checking","",""
"3/18/2021","Old Europe","OLD EUROPE ASHEVILLE, NC #0000001","26.26","debit","Restaurants","Investor Checking","",""
